Reaction.Time,Tempo
2.8162961006,100 bpm
2.8167099953,100 bpm
2.816849947,100 bpm
2.8833589554,100 bpm
2.9399869442,100 bpm
2.9642949104,100 bpm
2.9667668343,100 bpm
2.9868171215,100 bpm
3.0334320068,100 bpm
3.0495688915,100 bpm
3.0662930012,100 bpm
3.0831460953,100 bpm
3.0999748707,100 bpm
3.1115689278,100 bpm
3.1173360348,100 bpm
3.2334430218,100 bpm
3.3997681141,100 bpm
3.4163870812,100 bpm
3.4330720902,100 bpm
3.4443049431,100 bpm
3.4502010346,100 bpm
3.5662369728,100 bpm
3.734926939,100 bpm
3.8496980667,100 bpm
3.8812971115,100 bpm
3.9331378937,100 bpm
0.8665969372,140 bpm
0.8667309284,140 bpm
0.8833801746,140 bpm
0.900108099,140 bpm
0.9334669113,140 bpm
0.9335000515,140 bpm
0.9998629093,140 bpm
1.0000841618,140 bpm
1.0148639679,140 bpm
1.0166611671,140 bpm
1.0167191029,140 bpm
1.0167369843,140 bpm
1.0167558193,140 bpm
1.0334129334,140 bpm
1.0454530716,140 bpm
1.0499610901,140 bpm
1.0501000881,140 bpm
1.0669329166,140 bpm
1.0799751282,140 bpm
1.0829482079,140 bpm
1.0832879543,140 bpm
1.0833320618,140 bpm
1.0834429264,140 bpm
1.0835270882,140 bpm
1.0993139744,140 bpm
1.1000080109,140 bpm
1.100039959,140 bpm
1.1000640392,140 bpm
1.1000778675,140 bpm
1.1000988483,140 bpm
1.1001000404,140 bpm
1.1001029015,140 bpm
1.1003348827,140 bpm
1.1080701351,140 bpm
1.1122071743,140 bpm
1.11490798,140 bpm
1.1157989502,140 bpm
1.1164770126,140 bpm
1.1165089607,140 bpm
1.116517067,140 bpm
1.116672039,140 bpm
1.1167230606,140 bpm
1.1172299385,140 bpm
1.118585825,140 bpm
1.1281819344,140 bpm
1.1286199093,140 bpm
1.1286568642,140 bpm
1.1331489086,140 bpm
1.1332809925,140 bpm
1.1333119869,140 bpm
1.13331604,140 bpm
1.1333699226,140 bpm
1.1335539818,140 bpm
1.134346962,140 bpm
1.1475450993,140 bpm
1.1489667893,140 bpm
1.1498088837,140 bpm
1.1498391628,140 bpm
1.1500630379,140 bpm
1.1501648426,140 bpm
1.1501669884,140 bpm
1.1501750946,140 bpm
1.1502361298,140 bpm
1.1502900124,140 bpm
1.1647150517,140 bpm
1.1657230854,140 bpm
1.1664428711,140 bpm
1.1665959358,140 bpm
1.1667420864,140 bpm
1.1667571068,140 bpm
1.1667699814,140 bpm
1.1667890549,140 bpm
1.1670029163,140 bpm
