Reaction.Time,Tempo 
0.911363125,100 bpm
0.931329966,100 bpm
0.932176113,100 bpm
0.932329893,100 bpm
0.933800936,100 bpm
0.948704004,100 bpm
0.948704004,100 bpm
0.9673841,100 bpm
0.994624853,100 bpm
1.012388945,100 bpm
1.082382917,100 bpm
1.159601927,100 bpm
1.182235956,100 bpm
1.298352003,100 bpm
0.966560125,100 bpm
1.066938877,100 bpm
1.466601133,100 bpm
0.916409969,100 bpm
0.949975014,100 bpm
1.000067949,100 bpm
1.000280142,100 bpm
1.08335495,100 bpm
1.100059032,100 bpm
1.116566896,100 bpm
1.133250952,100 bpm
1.133624077,100 bpm
1.149970055,100 bpm
1.150123835,100 bpm
1.183243036,100 bpm
1.216696024,100 bpm
1.216916084,100 bpm
1.233398914,100 bpm
1.266510963,100 bpm
1.299914122,100 bpm
1.366433859,100 bpm
1.466444969,100 bpm
1.566981077,100 bpm
1.583317041,100 bpm
1.7167871,100 bpm
2.499620199,100 bpm
0.916581869,100 bpm
0.916841984,100 bpm
0.933465004,100 bpm
0.949783087,100 bpm
0.966883898,100 bpm
0.999899149,100 bpm
1.066513062,100 bpm
1.06653595,100 bpm
1.066672087,100 bpm
1.083331108,100 bpm
1.10018611,100 bpm
1.116984844,100 bpm
1.117206097,100 bpm
1.132977009,100 bpm
1.216742992,100 bpm
1.266410828,100 bpm
1.26669693,100 bpm
1.283193111,100 bpm
1.35025692,100 bpm
1.500099182,100 bpm
1.983164072,100 bpm
2.626089096,100 bpm
1.083467007,100 bpm
1.095514059,100 bpm
1.097045898,100 bpm
1.133744955,100 bpm
1.213799953,100 bpm
1.333099842,100 bpm
1.466016054,100 bpm
0.928242922,100 bpm
0.983067036,100 bpm
1.049884796,100 bpm
1.065481901,100 bpm
1.082812071,100 bpm
1.099053144,100 bpm
1.196515083,100 bpm
1.334540129,100 bpm
1.382920027,100 bpm
1.4317379,100 bpm
1.531264067,100 bpm
1.549643993,100 bpm
1.567065001,100 bpm
1.949218035,100 bpm
2.199155808,100 bpm
2.266084194,100 bpm
4.750393867,100 bpm
0.966650009,100 bpm
0.982642174,100 bpm
